4,Q04020204,,25001100,4,2
4,Q04020205,,25000100,4,2
4,Q05020202,,24452100,4,2
4,Q05020203,,24452200,4,2
4,Q05020204,,24459000,4,2
4,Q03010102,,20101000,1,2
4,Q03010202,,20101000,2,2
4,Q03010302,,20101000,5,2
4,Q03010402,,20101000,3,2
4,Q10010102,,23900000,1,2
4,Q10010402,,25250000,1,2
4,Q03060310,,24050305,4,2
5,Q02010102,10770104,,1,1
5,Q02010202,10770104,,2,1
5,Q02010302,10770104,,3,1
5,Q02010104,10770105,,1,1
5,Q02010204,10770105,,2,1
5,Q02010304,10770105,,3,1
5,Q02010106,10770106,,1,1
5,Q02010206,10770106,,2,1
5,Q02010306,10770106,,3,1
5,Q02010108,10770111,,1,1
5,Q02010208,10770111,,2,1
5,Q02010308,10770111,,3,1
5,Q10010202,,23900000,3,2
5,Q10010302,,23900000,4,2
5,Q10010502,,25250000,3,2
5,Q10010602,,25250000,4,2
5,Q02020102,10770101,,1,1
5,Q02020202,10770101,,2,1
5,Q02020302,10770101,,3,1
5,Q02020104,10770102,,1,1
5,Q02020204,10770102,,2,1
5,Q02020304,10770102,,3,1
5,Q02020106,10770103,,1,1
5,Q02020206,10770103,,2,1
5,Q02020306,10770103,,3,1
5,Q03020102,,20501000,1,2
5,Q03020202,,20501000,2,2
5,Q03020302,,20501000,5,2
5,Q03020402,,20501000,3,2
5,Q03020502,,20501000,4,2
5,Q03020103,,20502000,1,2
5,Q03020203,,20502000,2,2
5,Q03020303,,20502000,5,2
5,Q03020403,,20502000,3,2
5,Q03020503,,20502000,4,2
5,Q03020104,,20503000,1,2
5,Q03020204,,20503000,2,2
5,Q03020304,,20503000,5,2
5,Q03020404,,20503000,3,2
5,Q03020504,,20503000,4,2
5,Q03020105,,20504000,1,2
5,Q03020205,,20504000,2,2
5,Q03020305,,20504000,5,2
5,Q03020405,,20504000,3,2
5,Q03020505,,20504000,4,2
5,Q03020106,,20505000,1,2
5,Q03020206,,20505000,2,2
5,Q03020306,,20505000,5,2
5,Q03020406,,20505000,3,2
5,Q03020506,,20505000,4,2
5,Q03020107,,20506000,1,2
5,Q03020207,,20506000,2,2
5,Q03020307,,20506000,5,2
5,Q03020407,,20506000,3,2
5,Q03020507,,20506000,4,2
5,Q03030102,,23201000,1,2
5,Q03030202,,23201000,3,2
5,Q03030302,,23201000,4,2
5,Q03030103,,23202000,1,2
5,Q03030203,,23202000,3,2
5,Q03030303,,23202000,4,2
5,Q03030104,,23203000,1,2
5,Q03030204,,23203000,3,2
5,Q03030304,,23203000,4,2
5,Q03030105,,23204000,1,2
5,Q03030205,,23204000,3,2
5,Q03030305,,23204000,4,2
